entity_label,entity_text
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,a single day
DATE,the past month
DATE,Thursday
DATE,Sunday
DATE,2021
DATE,2021
DATE,24-year-old
DATE,about three weeks ago
DATE,three weeks ago
DATE,2021
DATE,last week
DATE,this week
DATE,yesterday
DATE,the second half
DATE,last September
DATE,Wednesday
DATE,three weeks ago
DATE,his third year
DATE,Last month
DATE,a week
DATE,last week
DATE,last week
DATE,2018
DATE,9-7 season last year
DATE,the 2018 season
DATE,2021
DATE,2021
DATE,24-year-old
DATE,about three weeks ago
DATE,three weeks ago
DATE,2021
DATE,last week
DATE,this week
DATE,yesterday
DATE,the second half
DATE,last September
DATE,Wednesday
DATE,three weeks ago
DATE,his third year
DATE,Last month
DATE,a week
DATE,last week
DATE,last week
DATE,2018
DATE,9-7 season last year
DATE,the 2018 season
DATE,2021
DATE,2021
DATE,24-year-old
DATE,about three weeks ago
DATE,three weeks ago
DATE,2021
DATE,last week
DATE,this week
DATE,yesterday
DATE,the second half
DATE,last September
DATE,Wednesday
DATE,three weeks ago
DATE,his third year
DATE,Last month
DATE,a week
DATE,last week
DATE,last week
DATE,2018
DATE,9-7 season last year
DATE,the 2018 season
DATE,2021
DATE,2021
DATE,24-year-old
DATE,about three weeks ago
DATE,three weeks ago
DATE,2021
DATE,last week
DATE,this week
DATE,yesterday
DATE,the second half
DATE,last September
DATE,Wednesday
DATE,three weeks ago
DATE,his third year
DATE,Last month
DATE,a week
DATE,last week
DATE,last week
DATE,2018
DATE,9-7 season last year
DATE,the 2018 season
DATE,2021
DATE,2021
DATE,nearly three quarters
DATE,the week ending Dec. 18
DATE,the week before
DATE,Monday
DATE,2021
DATE,50s
DATE,less than a month ago
DATE,Nov. 26
DATE,Monday
DATE,2021
DATE,2021
DATE,nearly three quarters
DATE,the week ending Dec. 18
DATE,the week before
DATE,Monday
DATE,2021
DATE,50s
DATE,less than a month ago
DATE,Nov. 26
DATE,Monday
DATE,2021
DATE,2021
DATE,nearly three quarters
DATE,the week ending Dec. 18
DATE,the week before
DATE,Monday
DATE,2021
DATE,50s
DATE,less than a month ago
DATE,Nov. 26
DATE,Monday
DATE,2021
DATE,2021
DATE,nearly three quarters
DATE,the week ending Dec. 18
DATE,the week before
DATE,Monday
DATE,2021
DATE,50s
DATE,less than a month ago
DATE,Nov. 26
DATE,Monday
DATE,2021
DATE,2021
DATE,this week
DATE,this season
DATE,season
DATE,Thursday
DATE,July 28
DATE,daily
DATE,2021
DATE,2021
DATE,this week
DATE,this season
DATE,season
DATE,Thursday
DATE,July 28
DATE,daily
DATE,2021
DATE,2021
DATE,this week
DATE,this season
DATE,season
DATE,Thursday
DATE,July 28
DATE,daily
DATE,2021
DATE,2021
DATE,this week
DATE,this season
DATE,season
DATE,Thursday
DATE,July 28
DATE,daily
DATE,2021
DATE,2021
DATE,the first week
DATE,last month
DATE,five days
DATE,five-day
DATE,the fifth day
DATE,Days later
DATE,Friday
DATE,"this Wednesday, July 28, 2021"
DATE,five-day
DATE,a few days
DATE,2021
DATE,2021
DATE,the first week
DATE,last month
DATE,five days
DATE,five-day
DATE,the fifth day
DATE,Days later
DATE,Friday
DATE,"this Wednesday, July 28, 2021"
DATE,five-day
DATE,a few days
DATE,2021
DATE,2021
DATE,the first week
DATE,last month
DATE,five days
DATE,five-day
DATE,the fifth day
DATE,Days later
DATE,Friday
DATE,"this Wednesday, July 28, 2021"
DATE,five-day
DATE,a few days
DATE,2021
DATE,2021
DATE,the first week
DATE,last month
DATE,five days
DATE,five-day
DATE,the fifth day
DATE,Days later
DATE,Friday
DATE,"this Wednesday, July 28, 2021"
DATE,five-day
DATE,a few days
DATE,2021
DATE,2021
DATE,Thursday
DATE,"Oct. 4, 2021"
DATE,the second half
DATE,"Sunday, Dec. 12, 2021"
DATE,"Sunday, Dec. 12, 2021"
DATE,2021
DATE,2021
DATE,Thursday
DATE,"Oct. 4, 2021"
DATE,the second half
DATE,"Sunday, Dec. 12, 2021"
DATE,"Sunday, Dec. 12, 2021"
DATE,2021
DATE,2021
DATE,Thursday
DATE,"Oct. 4, 2021"
DATE,the second half
DATE,"Sunday, Dec. 12, 2021"
DATE,"Sunday, Dec. 12, 2021"
DATE,2021
DATE,2021
DATE,Thursday
DATE,"Oct. 4, 2021"
DATE,the second half
DATE,"Sunday, Dec. 12, 2021"
DATE,"Sunday, Dec. 12, 2021"
DATE,2021
DATE,2021
DATE,Wednesday
DATE,the 2021 season
DATE,June
DATE,June
