entity_label,entity_text,Unnamed: 0
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,3rd,
ORDINAL,5th,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,59th,
ORDINAL,First,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,fifth,
ORDINAL,fifth,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,secondly,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,eighth,
ORDINAL,eighth,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,First,
ORDINAL,First,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,18th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,FIRST,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,second,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,third,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,second,
ORDINAL,11th,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
ORDINAL,first,
PERCENT,100%,
PERCENT,8.5%,
PERCENT,100%,
PERCENT,More than 98%,
PERCENT,100%,
PERCENT,More than 98%,
PERCENT,96%,
PERCENT,96%,
PERCENT,96%,
PERCENT,96%,
PERCENT,96%,
PERCENT,96%,
PERCENT,more than 73%,
PERCENT,more than 73%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,26.6%,
PERCENT,only 12.6%,
PERCENT,87%,
PERCENT,about 90%,
PERCENT,about 20 percent,
PERCENT,about 20 percent,
PERCENT,about 20 percent,
PERCENT,more than 15%,
PERCENT,more than 15%,
PERCENT,73.2%,
PERCENT,just 12.6%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,just 12.6%,
PERCENT,about 90%,
PERCENT,73.2%,
PERCENT,just 12.6%,
PERCENT,about 90%,
PERCENT,60%,
PERCENT,60%,
PERCENT,60%,
PERCENT,3.3%,
PERCENT,4.5%,
PERCENT,0.1%,
PERCENT,9%,
PERCENT,4.2%,
PERCENT,6.6%,
PERCENT,6.9%,
PERCENT,2.4%,
PERCENT,2.8%,
PERCENT,5.1%,
PERCENT,7.9%,
PERCENT,5.2%,
PERCENT,2.7%,
PERCENT,3.3%,
PERCENT,4.5%,
PERCENT,0.1%,
PERCENT,9%,
PERCENT,4.2%,
PERCENT,6.6%,
PERCENT,6.9%,
PERCENT,2.4%,
PERCENT,2.8%,
PERCENT,5.1%,
PERCENT,7.9%,
PERCENT,5.2%,
PERCENT,2.7%,
PERCENT,3.3%,
PERCENT,4.5%,
PERCENT,0.1%,
PERCENT,9%,
PERCENT,4.2%,
PERCENT,6.6%,
PERCENT,6.9%,
PERCENT,2.4%,
PERCENT,2.8%,
PERCENT,5.1%,
PERCENT,7.9%,
PERCENT,5.2%,
PERCENT,2.7%,
PERCENT,about 1.5%,
PERCENT,about 1.5%,
PERCENT,about 1.5%,
PERCENT,99%,
PERCENT,99%,
PERCENT,99%,
PERCENT,99%,
PERCENT,around 3%,
PERCENT,around 3%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,more than 50%,
PERCENT,more than 50%,
PERCENT,30%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,2.9%,
PERCENT,70%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,more than 98%,
PERCENT,about 13%,
PERCENT,3%,
PERCENT,87%,
PERCENT,87%,
PERCENT,87%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,2.9%,
PERCENT,96.7%,
PERCENT,just 0.4%,
PERCENT,29%,
PERCENT,70%,
PERCENT,33%,
PERCENT,13%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,97%,
PERCENT,99%,
PERCENT,99%,
PERCENT,99%,
PERCENT,39%,
PERCENT,39%,
PERCENT,39%,
PERCENT,39%,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,nearly 99%,
PERCENT,About 85% percent,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,about 85%,
PERCENT,6%,
PERCENT,over 80%,
PERCENT,79%,
PERCENT,6%,
PERCENT,over 80%,
PERCENT,79%,
PERCENT,6%,
PERCENT,over 80%,
PERCENT,79%,
PERCENT,nearly 72%,
PERCENT,nearly 72%,
PERCENT,nearly 72%,
