entity_label,entity_text,Unnamed: 0
DATE,Tuesday,
DATE,the spring semester,
DATE,January,
DATE,Jan. 18,
DATE,the spring,
DATE,January 18,
DATE,the spring,
DATE,Feb. 1 to Jan. 10,
DATE,last fall,
DATE,Jan. 3 through Jan. 17,
DATE,Jan. 5,
DATE,Jan. 8,
DATE,Jan. 10,
DATE,"this Aug. 13, 2019",
DATE,Monday,
DATE,this fall,
DATE,Jan. 21,
DATE,Saturday,
DATE,the first three weeks of January,
DATE,the first three weeks of January,
DATE,"Thursday, Sept. 9, 2021",
DATE,the first two weeks,
DATE,the winter quarter,
DATE,Jan. 18,
DATE,2021,
DATE,2021,
DATE,the spring,
DATE,their spring,
DATE,Tuesday,
DATE,the spring semester,
DATE,January,
DATE,Jan. 18,
DATE,the spring,
DATE,January 18,
DATE,the spring,
DATE,Feb. 1 to Jan. 10,
DATE,last fall,
DATE,Jan. 3 through Jan. 17,
DATE,Jan. 5,
DATE,Jan. 8,
DATE,Jan. 10,
DATE,"this Aug. 13, 2019",
DATE,Monday,
DATE,this fall,
DATE,Jan. 21,
DATE,Saturday,
DATE,the first three weeks of January,
DATE,the first three weeks of January,
DATE,"Thursday, Sept. 9, 2021",
DATE,the first two weeks,
DATE,the winter quarter,
DATE,Jan. 18,
DATE,2021,
DATE,2021,
DATE,Tuesday,
DATE,Tuesday,
DATE,this week,
DATE,Tuesday,
DATE,Tuesday,
DATE,Tuesday,
DATE,the weekend,
DATE,Tuesday,
DATE,Monday,
DATE,a little more than five hours,
DATE,Monday,
DATE,Tuesday,
DATE,110-year,
DATE,2022,
DATE,Tuesday,
DATE,Thursday,
DATE,2021,
DATE,2021,
DATE,Tuesday,
DATE,Tuesday,
DATE,this week,
DATE,Tuesday,
DATE,Tuesday,
DATE,Tuesday,
DATE,the weekend,
DATE,Tuesday,
DATE,Monday,
DATE,a little more than five hours,
DATE,Monday,
DATE,Tuesday,
DATE,110-year,
DATE,2022,
DATE,Tuesday,
DATE,Thursday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
